time,latitude,longitude,depth,phase,x,y,z,bx,by,P
2026-07-25 06:37:00,56.34591117624986,19.306696270574633,55.5,descending,64327.16208541761,24632.14056373413,0.0,0.0,0.0,"[[1300006.361260832, -2370.503000110413, 522.0656598838098, -2.8253021087452335], [-2370.5030001104137, 1273764.6584887442, 2.1074310810188317, 517.4917102335455], [522.0656598838098, 2.1074310810188317, 0.27926666666666694, 0.0], [-2.8253021087452335, 517.4917102335455, 0.0, 0.27926666666666694]]"
2026-07-25 06:38:00,56.345922923997485,19.306680895877435,57.0,descending,64326.21083583955,24633.444563720463,0.0,0.0,0.0,"[[1363857.5439298798, -2022.1605330260766, 538.8137106474643, -2.7734083347561316], [-2022.1605330260772, 1336919.8306489238, 2.2094278390012665, 534.2098261759888], [538.8137106474643, 2.2094278390012665, 0.2834333333333336, 0.0], [-2.7734083347561316, 534.2098261759888, 0.0, 0.2834333333333336]]"
2026-07-25 06:39:00,56.3459366787875,19.306664887687305,58.5,descending,64325.220391350864,24634.97134541275,0.0,0.0,0.0,"[[1429651.2262756175, -1585.6945230384251, 555.7960747263525, -2.7082668352171986], [-1585.6945230384258, 1402066.5575808699, 2.326365190741014, 551.1727015532945], [555.7960747263525, 2.326365190741014, 0.28760000000000024, 0.0], [-2.7082668352171986, 551.1727015532945, 0.0, 0.28760000000000024]]"
2026-07-25 06:40:00,56.345952441643675,19.306648305534686,60.0,descending,64324.19443516592,24636.721022447466,0.0,0.0,0.0,"[[1497408.7302935056, -1052.844543939778, 573.0119466282249, -2.629205923544253], [-1052.844543939779, 1469231.4692584274, 2.459207131494397, 568.3799640478404], [573.0119466282249, 2.459207131494397, 0.2917666666666669, 0.0], [-2.629205923544253, 568.3799640478404, 0.0, 0.2917666666666669]]"
2026-07-25 06:41:00,56.34596957797842,19.30663176009009,61.5,descending,64323.1707501473,24638.623155604775,0.0,0.0,0.0,"[[1567162.834061339, -420.08779938645534, 590.4627146058094, -2.5359281284022135], [-420.0877993864564, 1538452.402522162, 2.6074088387136145, 585.8333900711533], [590.4627146058094, 2.6074088387136145, 0.29593333333333355, 0.0], [-2.5359281284022135, 585.8333900711533, 0.0, 0.29593333333333355]]"
2026-07-25 06:42:00,56.345984381983556,19.30661844501842,63.0,descending,64322.34693188616,24640.266400174325,0.0,0.0,0.0,"[[1639007.0071032317, 289.32949162665545, 608.1608451039117, -2.4300209890587117], [289.3294916266543, 1609826.9736100803, 2.762446479633257, 603.5457964513785], [608.1608451039117, 2.762446479633257, 0.3001000000000002, 0.0], [-2.4300209890587117, 603.5457964513785, 0.0, 0.3001000000000002]]"
2026-07-25 06:43:00,56.34599682370145,19.306608307905755,64.5,descending,64321.71973747564,24641.647430860237,0.0,0.0,0.0,"[[1712971.094186239, 1079.7864343733725, 626.1064402071742, -2.310865248323545], [1079.7864343733715, 1683391.8893881107, 2.9242913163566415, 621.5179407513986], [626.1064402071742, 2.9242913163566415, 0.30426666666666685, 0.0], [-2.310865248323545, 621.5179407513986, 0.0, 0.30426666666666685]]"
2026-07-25 06:44:00,56.34600687307326,19.306601296101398,66.0,descending,64321.285909358594,24642.76291113139,0.0,0.0,0.0,"[[1789085.0603117666, 1955.7521734927454, 644.2996156686677, -2.1778311574498965], [1955.7521734927443, 1759184.2736074813, 3.092896037696949, 639.7506050941461], [644.2996156686677, 3.092896037696949, 0.3084333333333335, 0.0], [-2.1778311574498965, 639.7506050941461, 0.0, 0.3084333333333335]]"
2026-07-25 06:45:00,56.346014499929716,19.306597356719877,67.5,descending,64321.042175452036,24643.60949219828,0.0,0.0,0.0,"[[1867378.9991971897, 2921.7808528801447, 662.7405012351746, -2.0302790008528415], [2921.7808528801434, 1837241.6802883549, 3.268193909111368, 658.2445965272339], [662.7405012351746, 3.268193909111368, 0.31260000000000016, 0.0], [-2.0302790008528415, 658.2445965272339, 0.0, 0.31260000000000016]]"
2026-07-25 06:46:00,56.346019673981914,19.3065964366427,69.0,descending,64320.985249256155,24644.183811992283,0.0,0.0,0.0,"[[1947883.1419516425, 3982.5059795620837, 681.4292409740932, -1.8675596869953808], [3982.5059795620823, 1917602.1074433082, 3.450097890791344, 677.0007474065515], [681.4292409740932, 3.450097890791344, 0.3167666666666668, 0.0], [-1.8675596869953808, 677.0007474065515, 0.0, 0.3167666666666668]]"
2026-07-25 06:47:00,56.34602238403258,19.30659721519064,70.5,descending,64321.03341888121,24644.48462761603,0.0,0.0,0.0,"[[2030624.934195227, 5120.8061905468185, 700.3654877851527, -1.6903005490328475], [5120.806190546817, 2000312.9989099929, 3.6323004258991447, 696.0215002668198], [700.3654877851527, 3.6323004258991447, 0.32093333333333346, 0.0], [-1.6903005490328475, 696.0215002668198, 0.0, 0.32093333333333346]]"
2026-07-25 06:48:00,56.34602267652119,19.306596385021187,72.0,descending,64320.98205537587,24644.51709385148,0.0,0.0,0.0,"[[2115626.341358357, 6280.678187273553, 719.5479848432924, -1.5013355186674664], [6280.67818727355, 2085438.4118265389, 3.7979768377517438, 715.3120339678761], [719.5479848432924, 3.7979768377517438, 0.3251000000000001, 0.0], [-1.5013355186674664, 715.3120339678761, 0.0, 0.3251000000000001]]"
2026-07-25 06:49:00,56.346020563634646,19.306593887469653,73.5,descending,64320.82752909066,24644.282563445806,0.0,0.0,0.0,"[[2202916.152374609, 7458.331646530647, 738.9766983796688, -1.3003058670787215], [7458.331646530644, 2173021.446554103, 3.945716155981953, 734.8736161406831], [738.9766983796688, 3.945716155981953, 0.32926666666666676, 0.0], [-1.3003058670787215, 734.8736161406831, 0.0, 0.32926666666666676]]"
2026-07-25 06:50:00,56.34601605743718,19.30658966377279,75.0,descending,64320.566204278606,24643.782375527022,0.0,0.0,0.0,"[[2292523.1478523943, 8649.682325763997, 758.6515945151864, -1.0868450865497574], [8649.682325763997, 2263105.8565777894, 4.07406245392366, 754.7075431655833], [758.6515945151864, 4.07406245392366, 0.3334333333333334, 0.0], [-1.0868450865497574, 754.7075431655833, 0.0, 0.3334333333333334]]"
2026-07-25 06:51:00,56.34600916987429,19.306583655070526,76.5,descending,64320.194439201,24643.0178560459,0.0,0.0,0.0,"[[2384476.0986457393, 9850.344121293962, 778.5726390028352, -0.8605786984729561], [9850.344121293963, 2355736.0620051916, 4.181514474221961, 774.8151397100285], [778.5726390028352, 4.181514474221961, 0.33760000000000007, 0.0], [-0.8605786984729561, 774.8151397100285, 0.0, 0.33760000000000007]]"
2026-07-25 06:52:00,56.345999912776854,19.30657580240765,78.0,descending,64319.70858623423,24641.990318230153,0.0,0.0,0.0,"[[2478803.7642754666, 11055.621085949106, 798.7397969664598, -0.6211240812286253], [11055.621085949106, 2450957.1629537926, 4.266525265665807, 795.1977582409763], [798.7397969664598, 4.266525265665807, 0.3417666666666667, 0.0], [-0.6211240812286253, 795.1977582409763, 0.0, 0.3417666666666667]]"
2026-07-25 06:53:00,56.34598829786532,19.306566046735597,79.5,descending,64319.104991977896,24640.70106305045,0.0,0.0,0.0,"[[2575534.891201665, 12260.499402352827, 819.1530326363891, -0.36809031895735544], [12260.499402352827, 2548814.9528252846, 4.327501831651846, 815.8567785125688], [819.1530326363891, 4.327501831651846, 0.34593333333333337, 0.0], [-0.36809031895735544, 815.8567785125688, 0.0, 0.34593333333333337]]"
